t	x	v
4.42	0.856694	-2.25897
4.43	0.833284	-2.42086
4.44	0.808277	-2.57811
4.45	0.781722	-2.73042
4.46	0.75367	-2.8775
4.47	0.724173	-3.01907
4.48	0.693289	-3.15486
4.49	0.661077	-3.2846
4.5	0.627598	-3.40804
4.51	0.592916	-3.52496
4.52	0.557099	-3.63513
4.53	0.520214	-3.73833
4.54	0.482333	-3.83437
4.55	0.443528	-3.92306
4.56	0.403872	-4.00423
4.57	0.363443	-4.07774
4.58	0.322318	-4.14343
4.59	0.280575	-4.20119
4.6	0.238294	-4.25089
4.61	0.195557	-4.29245
4.62	0.152446	-4.32579
4.63	0.109042	-4.35084
4.64	0.0654289	-4.36756
4.65	0.0216906	-4.37591
4.66	-0.0220892	-4.37587
4.67	-0.0658267	-4.36745
4.68	-0.109438	-4.35066
4.69	-0.15284	-4.32554
4.7	-0.195949	-4.29213
4.71	-0.238683	-4.2505
4.72	-0.280959	-4.20072
4.73	-0.322697	-4.1429
4.74	-0.363817	-4.07714
4.75	-0.40424	-4.00356
4.76	-0.443889	-3.92232
4.77	-0.482687	-3.83356
4.78	-0.520561	-3.73746
4.79	-0.557437	-3.6342
4.8	-0.593245	-3.52397
4.81	-0.627917	-3.407
4.82	-0.661386	-3.28349
4.83	-0.693587	-3.1537
4.84	-0.72446	-3.01786
4.85	-0.753945	-2.87624
4.86	-0.781986	-2.72911
4.87	-0.808528	-2.57675
4.88	-0.833522	-2.41946
4.89	-0.856918	-2.25753
4.9	-0.878673	-2.09127
4.91	-0.898744	-1.92101
4.92	-0.917094	-1.74707
4.93	-0.933686	-1.56977
4.94	-0.94849	-1.38948
4.95	-0.961477	-1.20652
4.96	-0.972621	-1.02124
4.97	-0.981903	-0.834016
4.98	-0.989303	-0.645189
4.99	-0.994807	-0.455126
5	-0.998406	-0.264191
5.01	-1.00009	-0.0727492
5.02	-0.999862	0.118832
5.03	-0.997716	0.310185
5.04	-0.993659	0.500945
5.05	-0.987698	0.690745
5.06	-0.979845	0.879221
5.07	-0.970115	1.06601
5.08	-0.958526	1.25076
